Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Draft_Outcome,Player_Code,Game Played,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD
103,2012,Nick Foles,QB,26,Arizona,College Stats,77,243,5.03,30.5,0,112,0,0,Philadelphia Eagles ,3,drafted,1009818,36,38.72222222,25.97222222,278.9444444,0.916666667,1.861111111,2.916666667,-8.027777778,0.111111111
43,2006,Omar Jacobs,QB,0,Bowling Green,College Stats,76,232,4.84,32.5,0,108,7.47,4.29,Pittsburgh Steelers ,5,drafted,45899,9,35.66666667,21.66666667,287.7777778,0.777777778,2.888888889,4.444444444,6.888888889,0.111111111
122,2011,Pat Devlin,QB,0,Delaware,0,75,225,4.81,33,0,116,7.08,4.32,0,8,undrafted,1003045,10,4.8,2.5,45.9,0,0.4,1,0.2,0.2
6,2009,Pat White,QB,1,West Virginia,College Stats,73,197,4.55,35,0,117,7.06,4.42,Miami Dolphins ,2,drafted,84069,49,15.97959184,10.34693878,123.4489796,0.469387755,1.142857143,13.95918367,91.42857143,0.959183673
142,2012,Patrick Witt,QB,0,Yale,0,75,225,5.06,31.5,0,101,7.14,4.37,0,8,undrafted,1010117,4,2,1.5,12,0,0,1,5,0.25
156,2006,Paul Pinegar,QB,0,Fresno State,College Stats,77,232,5.1,29,0,110,7.36,4.49,0,8,undrafted,31379,13,32,20.38461538,256.5384615,1.153846154,2.307692308,3.538461538,4.538461538,0.230769231
140,2008,Paul Smith,QB,0,Tulsa,College Stats,73,208,4.95,26.5,0,111,7.02,4.29,0,8,undrafted,55984,40,31.45,19.675,265.975,0.85,2.05,7.925,16.625,0.675
60,2016,Paxton Lynch,QB,2,Memphis,College Stats,79,244,4.86,36,0,118,7.14,4.26,Denver Broncos ,1,drafted,1047908,12,29.08333333,16.91666667,171.3333333,0.833333333,0.75,7.333333333,10.58333333,0.166666667
157,2006,Quinton Porter,QB,0,Boston College,College Stats,77,233,4.67,33.5,0,116,6.76,4.1,0,8,undrafted,84452,7,30.57142857,19.42857143,193.8571429,1,1.285714286,4.428571429,1.285714286,0
56,2006,Reggie McNeal,QB,0,Texas A&M,College Stats,74,198,4.4,32,0,121,6.96,4.25,Cincinnati Bengals ,6,drafted,51994,10,26.5,14.1,196.3,0.9,1.6,9.6,66.4,0.3
