Player_Code,Player Name,Position,Game Played,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
84876, Odiari,0,11,0,0,0,0,0,0,0,0,0,0,0,15,0,2
86768, Ohrnberger,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87022, Oliver,0,7,0,0,0,0,0,0,0,0,0,0,0,15,1,0
87148, Orman,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86738, Palmer,0,18,0,0,0,0,0,0,0,0,0,0,0,43,0,2
86945, Pepper,0,37,0,0,0,0,0,0,0,0,0,0,0,55,2,4
86802, Phillips,0,12,0,0,0,0,0,0,0,0,0,0,0,10,0,0
1015190, Pittman,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0
86024, Pol,0,1,0,0,0,0,0,0,0,0,2,33,0,0,0,0
86095, Rank,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86859, Raynor,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0
84901, Reamer,0,28,0,0,0,0,0,0,0,0,0,0,0,49,1,3
87091, Rene,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84785, Rice,0,12,0,0,0,0,0,0,0,0,0,0,0,21,0,5
86144, Rice,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0
87408, Richard,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86765, Ridenhour,0,11,0,0,0,0,0,0,0,0,0,0,0,9,0,0
84510, Roberts,0,2,0,0,0,0,0,0,0,0,6,66,0,0,0,0
87005, Robinso,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84748, Root,0,20,0,0,0,0,0,0,0,0,44,699,2,2,0,0
84783, Sales,0,41,0,0,0,0,0,0,0,0,0,0,0,82,1,3
86942, Sapp,0,46,0,0,0,0,0,0,0,0,0,0,0,141,0,2
86772, Sawhill,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84754, Schulte,0,1,0,0,0,0,0,1,15,0,2,8,1,0,0,0
87150, Seaman,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0
86020, Secka,0,24,0,0,0,0,0,0,0,0,0,0,0,83,6,0
