Rk,Year,Player,Pos,AV,School,College,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Draft_Outcome,Player_Code,Position,Pass Att,Pass Comp,Pass Yard,Pass Int,Pass TD,Rush Att,Rush Yard,Rush TD,Rec,Rec Yards,Rec TD,Tackle Solo,Int Ret,Sack
8,2006,Charlie Whitehurst,QB,7.0,Clemson,College Stats,77,223,4.75,33.0,0.0,112.0,7.0,4.11,San Diego Chargers ,3,drafted,46545,QB,340,229,2483,10,11,50,26,3,0,0,0,0,0,0.0
9,2006,Andrew Whitworth,OT,119.0,LSU,0,79,334,5.16,30.5,28.0,112.0,8.23,4.83,Cincinnati Bengals ,2,drafted,48804,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
10,2006,Guy Whimper,OT,14.0,East Carolina,College Stats,77,304,4.96,29.0,26.0,102.0,7.38,4.59,New York Giants ,4,drafted,32734,OL,0,0,0,0,0,0,0,0,0,3,0,1,0,0.0
12,2006,Todd Watkins,WR,1.0,BYU,College Stats,74,202,4.4,36.0,15.0,118.0,7.13,4.24,Arizona Cardinals ,7,drafted,70123,WR,0,0,0,0,0,0,0,0,49,678,9,2,0,0.0
13,2006,Leon Washington,RB,34.0,Florida State,College Stats,68,201,4.42,32.5,17.0,105.0,6.94,4.37,New York Jets ,4,drafted,61100,RB,0,0,0,0,0,97,430,3,25,267,1,2,0,0.0
14,2006,Cooper Wallace,TE,0.0,Auburn,College Stats,76,261,4.78,29.0,21.0,105.0,7.29,4.21,0,8,undrafted,45679,TE,0,0,0,0,0,0,0,0,20,195,1,1,0,0.0
15,2006,Marcus Vick,QB,0.0,Virginia Tech,College Stats,73,200,4.47,36.0,0.0,117.0,6.94,4.08,0,8,undrafted,83920,QB,289,177,2393,10,17,147,380,6,0,0,0,0,0,0.0
16,2006,Lawrence Vickers,FB,3.0,Colorado,College Stats,73,245,4.82,30.5,21.0,104.0,7.74,4.63,Cleveland Browns ,6,drafted,46629,RB,0,0,0,0,0,73,258,9,26,152,2,1,0,0.0
17,2006,Jeremy Trueblood,OT,42.0,Boston College,0,80,316,5.25,27.5,20.0,96.0,7.82,4.68,Tampa Bay Buccaneers ,2,drafted,30975,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
18,2006,Michael Toudouze,OT,1.0,TCU,0,78,303,5.12,26.5,23.0,100.0,7.45,4.7,Indianapolis Colts ,5,drafted,40204,OL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
19,2006,David Thomas,TE,10.0,Texas,College Stats,75,252,4.67,37.5,19.0,113.0,7.05,4.34,New England Patriots ,3,drafted,52060,TE,0,0,0,0,0,0,0,0,50,613,5,0,0,0.0
20,2006,T.J. Williams,TE,0.0,North Carolina State,College Stats,74,269,4.72,34.0,25.0,111.0,7.49,4.54,Tampa Bay Buccaneers ,6,drafted,44265,TE,0,0,0,0,0,0,0,0,36,407,2,2,0,0.0
