Pos,Unnamed: 0,Year,Player,Height,Wt,40YD,Vertical,BenchReps,Broad Jump,3Cone,Shuttle,Drafted,Round,Pick,Age,Team,All Pro,Pro Bowl,AV,Games,Pass Completions,Pass Attempts,Pass Yards,Pass TDs,Interceptions,Rush Attempts,Rush Yards,Rush TDs,Receptions,Receiving Yards,Receiving TDs,Tackles,Picks,Sacks
RB,251,2002,Najeh Davenport,73.0,248,4.57,0.0,0.0,0.0,0.0,0.0,Green Bay Packers ,4.0,135,23.0,GNB,0,0,18.0,73.0,0.0,0.0,0.0,0.0,0.0,394.0,1819.0,13.0,54.0,538.0,3.0,23.0,0.0,0
RB,261,2002,Ladell Betts,70.0,220,4.62,38.0,23.0,116.0,7.06,4.06,Washington Redskins ,2.0,56,23.0,WAS,0,0,32.0,111.0,0.0,0.0,0.0,0.0,0.0,821.0,3326.0,15.0,188.0,1646.0,3.0,17.0,0.0,0
RB,266,2002,Brian Allen,69.0,209,4.46,33.0,19.0,112.0,6.9,4.08,Indianapolis Colts ,6.0,204,22.0,IND,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,279,2003,LaBrandon Toefield,71.0,233,4.6,0.0,19.0,0.0,0.0,0.0,Jacksonville Jaguars ,4.0,132,23.0,JAX,0,0,5.0,45.0,1.0,2.0,32.0,0.0,0.0,163.0,572.0,7.0,46.0,277.0,2.0,6.0,0.0,0
RB,281,2003,Lee Suggs,73.0,202,4.44,0.0,0.0,0.0,0.0,0.0,Cleveland Browns ,4.0,115,23.0,CLE,0,0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,269.0,1074.0,4.0,28.0,217.0,1.0,7.0,0.0,0
RB,287,2003,Onterrio Smith,70.0,220,4.48,0.0,19.0,0.0,0.0,0.0,Minnesota Vikings ,4.0,105,22.0,MIN,0,0,14.0,26.0,0.0,0.0,0.0,0.0,0.0,231.0,1123.0,7.0,51.0,523.0,2.0,1.0,0.0,0
RB,288,2003,Musa Smith,73.0,232,4.45,35.5,0.0,123.0,0.0,0.0,Baltimore Ravens ,3.0,77,21.0,BAL,0,0,6.0,49.0,0.0,0.0,0.0,0.0,0.0,132.0,496.0,4.0,54.0,363.0,0.0,24.0,0.0,0
RB,296,2003,Artose Pinner,70.0,229,4.68,0.0,0.0,0.0,0.0,0.0,Detroit Lions ,4.0,99,25.0,DET,0,0,8.0,47.0,0.0,0.0,0.0,0.0,0.0,250.0,858.0,8.0,39.0,308.0,0.0,11.0,0.0,0
RB,305,2003,Willis McGahee,73.0,223,4.45,0.0,0.0,0.0,0.0,0.0,Buffalo Bills ,1.0,23,21.0,BUF,0,2,55.0,142.0,0.0,0.0,0.0,0.0,0.0,2095.0,8474.0,65.0,210.0,1339.0,5.0,7.0,0.0,0
RB,318,2003,Larry Johnson,73.0,228,4.45,0.0,19.0,0.0,0.0,0.0,Kansas City Chiefs ,1.0,27,23.0,KAN,1,2,51.0,85.0,1.0,3.0,4.0,1.0,0.0,1427.0,6223.0,55.0,154.0,1373.0,6.0,8.0,0.0,0
RB,330,2003,Quentin Griffin,67.0,195,4.48,38.0,21.0,123.0,0.0,4.08,Denver Broncos ,4.0,108,22.0,DEN,0,0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,179.0,656.0,2.0,18.0,129.0,1.0,1.0,0.0,0
RB,342,2003,Brandon Drumm,73.0,233,4.71,32.5,21.0,113.0,7.18,4.29,Detroit Lions ,7.0,236,0.0,DET,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,343,2003,Ahmaad Galloway,73.0,223,4.65,0.0,22.0,0.0,0.0,0.0,Denver Broncos ,7.0,235,0.0,DEN,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,344,2003,Domanick Williams,69.0,213,4.63,32.5,22.0,112.0,7.32,4.47,Houston Texans ,4.0,101,22.0,HOU,0,0,32.0,40.0,0.0,1.0,0.0,0.0,0.0,770.0,3195.0,23.0,154.0,1276.0,5.0,3.0,0.0,0
RB,349,2003,Casey Moore,74.0,240,4.65,32.5,22.0,114.0,7.29,4.26,Carolina Panthers ,7.0,247,0.0,CAR,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RB,352,2003,Chris Brown,75.0,220,4.46,0.0,0.0,0.0,0.0,0.0,Tennessee Titans ,3.0,93,22.0,TEN,0,0,23.0,68.0,0.0,1.0,0.0,0.0,1.0,722.0,3024.0,19.0,90.0,741.0,2.0,8.0,0.0,0
RB,362,2004,Quincy Wilson,69.0,225,4.6,33.5,26.0,118.0,7.68,4.36,Atlanta Falcons ,7.0,219,23.0,ATL,0,0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
